;New York;Los Angeles;Chicago;Miami;Dallas;Philadelphia;Houston;Washington;Atlanta;Boston;Phoenix;Seattle;San Francisco;Detroit;San Diego;Minneapolis;Tampa;Denver;Brooklyn;Queens;Baltimore;Riverside;Saint Louis;Las Vegas;Portland;San Antonio;Sacramento;San Jose;Orlando;Cleveland;Pittsburgh;Cincinnati;Manhattan;Austin;Kansas City;Indianapolis;Columbus;Virginia Beach;Charlotte;Bronx;Milwaukee;Providence;Jacksonville;Salt Lake City;Nashville;Memphis;Richmond;New Orleans;Raleigh;Louisville;Oklahoma City;Bridgeport;Buffalo;Hartford;Fort Worth;Tucson;El Paso;Honolulu;Omaha;McAllen;Albuquerque;Birmingham;Dayton;Rochester;Sarasota;Fresno;Allentown;Tulsa;Concord;Cape Coral;Springfield;Colorado Springs;Charleston;Grand Rapids;Mission Viejo;Albany;Knoxville;Baton Rouge;Bakersfield;Ogden;New Haven;Columbia;Akron;Provo;Worcester;Mesa;Palm Bay;Toledo;Murrieta;Wichita;Des Moines;Staten Island;Long Beach;Greenville;Little Rock;Harrisburg;Denton;Madison;Reno;Port Saint Lucie;Oakland;Winston-Salem;Indio;Durham;Syracuse;Chattanooga;Lancaster;Spokane;Palm Coast;Arlington;Bonita Springs;Poughkeepsie;Stockton;Oxnard;Augusta;Scranton;Boise;Modesto;Kissimmee;Youngstown;Aurora;Anaheim;Lancaster;Victorville;Pensacola;Fayetteville;Corpus Christi;Jackson;Greensboro;Flint;Santa Ana;Fort Wayne;Ann Arbor;Fayetteville;Santa Rosa;Lansing;Mobile;Lexington;Huntsville;Santa Clarita;Asheville;Saint Paul;Fort Collins;Antioch;Henderson;Trenton;Lakeland;Shreveport;Davenport;Springfield;
New York;0;3953.63;1155.91;1756.69;2208.28;127.781;2286.41;330.639;1205.9;297.577;3446.03;3871.76;4138.86;786.157;3905.23;1642.69;1612.44;2616.01;5.33804;12.3763;276.285;3876.44;1413.45;3599.68;3930.12;2549.9;4028.47;4107.24;1517.09;655.571;511.837;918.15;10.5007;2435.81;1764.09;1041.53;771.58;477.198;858.96;18.0156;1190.49;244.196;1347.59;3176.57;1226.23;1536.48;466.482;1865.81;679.484;1044.51;2137.51;82.458;476.159;158.055;2256.1;3412.2;3055.2;7986.36;1853.35;2754.98;2919.73;1389.84;877.568;410.899;1682.02;3956.9;131.286;1975.36;4094.25;1729.66;195.759;2629.29;1027.65;1003.2;3913.43;219.538;1019.13;1923.28;3952.12;3169.15;108.41;962.845;639.865;3166.37;248.616;3422.67;1541.3;814.949;3876.07;2039.46;1647.97;22.6172;3946.97;986.409;1747.77;254.572;2215.74;1305.58;3861.74;1605.04;4118.86;751.623;3788.01;680.473;319.102;1173.03;213.973;3506.41;1406.55;2242.56;1751.08;111.262;4037.09;4015.08;1088.54;165.901;3465;4024.31;1537.77;566.591;2604.89;3919.89;3908.36;3846.58;1651.28;1832.9;2582.06;1723.95;724.941;848.755;3926.66;943.387;835.054;764.984;4134.63;910.319;1693.98;951.604;1300.44;3947.86;944.822;1629.69;2614.43;4077;3589.34;88.1929;1585.07;1989.9;1398.25;1715.66;
Los Angeles;3953.63;0;2809;3771.54;2009.28;3856.88;2219.11;3705.46;3120.66;4178.03;586.474;1537.1;544.011;3191.44;185.822;2455.57;3474.12;1354.64;3951.89;3963.91;3736.42;95.2886;2560.36;370.221;1320.37;1945.05;565.898;471.327;3557.24;3302.57;3444.13;3058.11;3949.49;1985.34;2193.38;2918.59;3188.73;3818.47;3418.36;3957.39;2807.76;4154.07;3462.25;935.295;2871.73;2595.33;3680.9;2711.18;3603.12;2960.29;1910.28;4011.05;3542.36;4049.81;1956.04;733.872;1144.38;4103.96;2114.16;2121.78;1081.28;2908.91;3084.84;3643.66;3491.02;322.328;3823.73;2054.21;537.038;3570.23;4059.64;1327.71;3547.84;2991.35;89.2361;3954.1;3127.49;2588.62;149.296;972.457;4032.82;3434.2;3314.41;906.975;4118.95;623.283;3638.5;3145.73;127.443;1933.93;2319.87;3935.57;41.0712;3286.83;2383.64;3706.54;1966.94;2694.56;617.872;3691.75;533.472;3454.77;204.807;3577.52;3762.79;3023.1;3757.46;1509.23;3528.05;1978.12;3601.81;3947.64;502.589;71.9063;3343.02;3803.88;1071.44;456.251;3556.96;3387.81;1363.98;59.1836;67.8474;107.099;2951.55;2210.46;2123.19;2622.18;3493.52;3150.62;64.0749;3011.28;3138.9;3586.78;616.763;3076.39;2858.96;3064.81;2902.75;34.5947;3257.93;2467.02;1377.27;526.717;372.481;3886.5;3516.93;2289.34;2564.71;2288.04;
Chicago;1155.91;2809;0;1912.04;1285.25;1073.02;1507.75;960.11;942.327;1369.04;2324.84;2786;2983.14;382.907;2771.68;569.151;1610.93;1462.67;1154.8;1165.31;975.8;2734.97;416.979;2450.34;2818.53;1684.92;2873.28;2951.34;1592.22;500.438;663.83;402.683;1150.67;1567.22;654.28;263.21;445.355;1150.1;947.521;1157.64;138.334;1345.81;1387.72;2021.74;634.807;774.661;995.471;1323.95;1028.16;443.524;1107.72;1207.19;735.239;1242.03;1318.81;2313.64;1997.07;6831.24;698.611;1985.71;1807.25;927.274;372.021;838.124;1678.57;2801.85;1029.71;951.824;2938.59;1767.39;1250.83;1481.39;1212.46;208.371;2773.28;1145.43;728.027;1303.97;2801.19;2015.55;1227.82;1050.88;520.415;2010.64;1309.95;2304.93;1666.49;340.96;2737.34;944.779;492.594;1139.69;2804.5;905.86;889.387;921.558;1268.77;196.734;2707.57;1749.54;2963.12;904.09;2650.81;999.883;955.801;782.21;976.117;2420.17;1484.91;1313.52;1803.93;1140.52;2881.3;2868.59;1063.49;999.597;2328.7;2868.4;1608.15;592.101;1451.92;2777.92;2761.36;2701.93;1267.8;850.949;1799.72;1082;931.593;353.289;2785.22;227.623;330.103;1066.01;2979.73;275.04;1241.42;503.673;798.957;2801.58;826.61;557.696;1458.76;2921.31;2441.34;1097.57;1618.02;1173.54;244.356;705.187;
Miami;1756.69;3771.54;1912.04;0;1781.83;1650.27;1556.82;1489.19;975.629;2018.68;3185.07;4393.01;4168.79;1864.57;3644.62;2432.02;330.906;2765.89;1751.35;1766.35;1540.41;3677.14;1710.17;3514.05;4349.17;1848.12;4095.11;4111.38;319.889;1750.17;1629.77;1538.42;1764.68;1791.07;1997.68;1650.88;1600.06;1279.93;1049.57;1774.63;2046.61;1957.04;525.744;3360.24;1313.22;1395.11;1331.25;1066.49;1127.24;1468.52;1970.23;1830.85;1907.43;1906.45;1831.99;3055.19;2634.77;7812.13;2254.67;1801.71;2727.29;1070.24;1599.83;1947.31;289.426;3923.83;1704.2;1883.15;4132.94;202.174;1946.82;2713.51;782.03;1973.19;3698.71;1966.05;1187.14;1188.96;3839.62;3380.49;1852.07;920.118;1705.15;3317.78;1987.48;3148.56;248.942;1792.68;3655.53;2086.21;2143.52;1738.4;3746.75;1027.52;1530.71;1640.55;1832;2096.37;3974.4;167.244;4149.4;1147.42;3568.57;1140.51;1954.15;1139.08;1626.4;4052.6;429.799;1809.34;169.762;1860.94;4072.93;3843.29;861.85;1786.48;3799.65;4041.39;304.626;1703.46;2751.87;3718.97;3755.17;3678.67;857.998;1751.65;1717.14;1212.59;1147.18;1942.91;3720.52;1761.45;1861.79;1040.88;4200.23;1923.81;946.143;1420.35;1167.34;3782.33;1110.94;2423.54;2820.33;4115.11;3490.32;1683.09;306.107;1512.54;1996.68;1770.77;
Dallas;2208.28;2009.28;1285.25;1781.83;0;2088.77;358.986;1900.48;1151.8;2486.31;1427.3;2704.3;2387.13;1604.54;1899.42;1386.32;1471.99;1061.53;2204.91;2220.3;1945.63;1916.72;876.197;1734.18;2625.22;405.468;2313.62;2330.3;1549.95;1645.43;1718.63;1307.97;2207.72;292.522;731.431;1226.91;1467.45;1938.82;1491.64;2217.89;1376.53;2444.33;1454.44;1612.44;988.361;676.684;1827.13;715.788;1695.73;1169.31;305.175;2282.58;1926.82;2342.07;54.3383;1324.74;913.906;6099.38;943.857;743.475;946.419;931.041;1366.07;2028.79;1495.27;2143.62;2079.97;379.124;2351.13;1579.7;2365.22;986.914;1568.69;1490.31;1942.38;2288.25;1226.93;594.051;2066.35;1639.7;2308.13;1477.21;1634.67;1563.49;2427.87;1393.25;1632.38;1525.02;1899.67;546.931;1015.19;2186.64;1988;1348.47;460.588;1955.58;58.7404;1312.73;2196.3;1689.2;2367.7;1555.41;1810.43;1674.38;2129.04;1091.52;1994.61;2396.8;1518.8;35.1428;1613.65;2241.97;2291.1;2080.25;1369.54;2094.42;2074.17;2259.73;1550.55;1700.13;1048.29;1959.8;1986.99;1911.8;943.411;435.493;567.558;616.434;1593.85;1611.68;1962.6;1382.5;1556.33;1658.37;2418.5;1535.82;850.868;1257.24;959.337;2016.92;1342;1387.75;1135.25;2333.29;1711.24;2125.6;1513.05;280.523;1116.08;582.658;
Philadelphia;127.781;3856.88;1073.02;1650.27;2088.77;0;2161.12;202.861;1078.12;425.303;3342.65;3817.92;4054.33;716.787;3804.5;1581.61;1494.9;2525.94;123.222;140.088;148.87;3778.44;1307.18;3505.65;3869.17;2426.54;3945.43;4021.09;1402.24;575.04;413.858;808.627;131.23;2312.93;1664.28;939.217;668.586;372.591;732.215;142.446;1119.55;371.712;1228.3;3094.34;1104.11;1415.19;342.229;1738.12;556.966;929.719;2025.7;209.966;446.449;284.006;2137.13;3304.55;2942.89;7903.05;1766.13;2628.54;2815.49;1262.68;773.51;407.521;1565.2;3867.85;71.5633;1864.05;4009.97;1615.54;319.741;2535.71;908.866;935.171;3814.89;315.954;892.944;1796.1;3858.84;3088.54;236.095;838.128;552.644;3082.11;375.305;3318.56;1429.79;733.866;3777.05;1935.46;1562.14;105.21;3849.31;858.749;1628.19;151.725;2097.52;1233.08;3780.38;1495.76;4034.26;624.305;3688.56;556.4;347.598;1046.54;99.4595;3451.84;1290.15;2123.21;1638.07;213.559;3952.32;3919.16;962.778;161.635;3394.87;3938.41;1422.96;481.177;2514.52;3822.04;3812.79;3749.93;1523.71;1719.52;2456.18;1597.78;598.205;787.018;3828.6;853.745;762.392;643.642;4052.13;841.696;1566.2;834.17;1174.61;3851.89;817.13;1568.68;2527.64;3992.6;3494.56;39.5896;1468.9;1866.92;1312.15;1605.61;
Houston;2286.41;2219.11;1507.75;1556.82;358.986;2161.12;0;1962.47;1126.28;2577.16;1633.14;3037.34;2641.55;1779.55;2088.33;1697.8;1275.24;1405.6;2282.43;2298.75;2013.05;2124.26;1091.3;1981.84;2946.58;304.94;2578.66;2580.24;1371.37;1791.33;1830.54;1439.23;2287.52;234.343;1041.05;1393.53;1598.91;1953.01;1490.63;2298.31;1617.21;2529.2;1320.58;1929.99;1070.78;779.245;1863.82;527.213;1700.33;1292.69;662.172;2365.38;2071.49;2431.54;381.364;1498.52;1078.39;6262.59;1277.45;484.531;1209.35;912.946;1507.18;2168.39;1283.04;2390.08;2164.34;706.777;2608.64;1357.23;2459.37;1325;1502.29;1701.84;2144.42;2396.9;1269.05;416.073;2294.27;1961.07;2391.6;1445.11;1772.07;1877.21;2521.07;1595.9;1446.77;1693.7;2101.22;897.072;1320.25;2264;2193.07;1345.24;618.683;2042.44;416.043;1571.5;2475.3;1490.67;2622.82;1574.3;2015.2;1683.53;2256.86;1117.37;2073.83;2739.33;1366.11;363.45;1387.21;2336.28;2549.73;2291;1321.87;2193.48;2398.71;2514.89;1367.53;1829.85;1392.79;2165.51;2205.96;2128.92;792.095;708.067;301.072;567.716;1610.22;1802.28;2166.65;1559.88;1736.39;1646.56;2680.22;1731.48;705.714;1362.04;986.969;2231.37;1361.1;1697.69;1482.9;2591.18;1956.1;2199.85;1321.01;334.328;1377.63;846.29;
Washington;330.639;3705.46;960.11;1489.19;1900.48;202.861;1962.47;0;875.271;628.089;3180.74;3737.3;3922.92;642.6;3646.51;1499.96;1312.96;2388.32;326.076;342.949;56.4343;3625.02;1146.25;3359.24;3776.83;2231.17;3816.62;3887.03;1226.01;488.504;305.439;647.352;333.801;2118.45;1513.05;790.724;526.339;256.097;532.352;344.996;1027.86;574.447;1043.79;2968.47;912.745;1224.66;158.092;1535.36;370.66;755.036;1851.35;412.701;470.336;485.795;1949.76;3135.48;2766.24;7770.51;1636.94;2427.82;2652.86;1060.92;625.183;476.716;1384.47;3729.21;229.602;1691.01;3879.03;1439.92;520.151;2392.01;727.409;853.849;3660.54;498.249;693.446;1594.19;3713.21;2965.42;438.889;643.132;453.605;2952.86;577.296;3155.45;1260.03;635.605;3621.95;1775.4;1437.03;308.056;3696.37;656.291;1440.46;152.812;1911.54;1136.29;3654.61;1329.98;3902.75;423.002;3532.84;365.421;465.713;846.19;140.579;3370.91;1111.3;1935.16;1464.49;406.342;3820.66;3769.05;764.909;300.737;3288.46;3804.9;1246.72;393.83;2376.41;3668.84;3663.38;3598.82;1321.4;1543.11;2256.42;1397.74;398.753;723.451;3675.04;733.321;679.358;459.068;3924.06;762.754;1363.37;654.757;975.503;3701.78;614.402;1487.3;2395.62;3861.47;3346.91;242.446;1289.78;1672.56;1189.26;1435.79;
Atlanta;1205.9;3120.66;942.327;975.629;1151.8;1078.12;1126.28;875.271;0;1503.34;2552.68;3501.99;3435.58;965.495;3028.14;1457.19;668.607;1934.9;1201.31;1218.2;930.195;3031.6;752.37;2810.54;3484.94;1416.47;3345.26;3387.3;656.556;890.985;840.374;598.119;1209.02;1312.95;1083.67;686.123;703.695;829.126;366.362;1220.2;1079.09;1449.43;461.007;2543.73;343.557;530.733;754.316;662.21;575.546;501.92;1211.93;1287.95;1125.87;1360.38;1205.7;2468;2063.95;7224.41;1319.72;1570.36;2039.39;221.484;669.365;1201.04;736.525;3210.29;1096.91;1078.31;3395.26;825.075;1393.47;1903.85;427.598;1028.47;3061.28;1354.93;249.132;731.6;3158.54;2555.11;1314.16;326.157;852.907;2511.22;1451.89;2521.41;735.598;881.677;3019.6;1244.14;1185.23;1183.32;3103.78;223.565;737.019;985.302;1180.32;1122.39;3203.43;817.723;3415.45;459.986;2929.32;560.489;1257.47;163.512;1003.66;3148.91;557.587;1186.57;861.688;1275.26;3334.83;3189.66;222.371;1146.61;2947.49;3310.11;671.045;881.077;1921.14;3075.49;3090.22;3018.25;451.775;924.233;1407.56;563.029;492.7;1031.73;3079.61;817.076;948.518;520.548;3453.48;995.444;488.12;475.892;228.991;3123.96;263.876;1448.51;1972.85;3377.2;2791.97;1117.71;676.797;884.462;1022.66;888.59;
Boston;297.577;4178.03;1369.04;2018.68;2486.31;425.303;2577.16;628.089;1503.34;0;3686.33;3999.34;4335.2;986.783;4138.72;1803.26;1894.45;2829.54;302.269;285.337;573.275;4103.82;1667.61;3818.7;4073.62;2836.06;4221.73;4307.35;1794.81;881.389;770.327;1183.33;294.331;2721;2002.85;1292.38;1028.62;752.413;1155.78;283.159;1379.94;61.6492;1633.11;3370.61;1511.7;1819.51;761.549;2162.75;971.816;1317.48;2399.32;215.393;638.455;145.627;2532.87;3662.1;3316.1;8174.3;2065.62;3048.33;3163.1;1685.35;1134.17;541.527;1962.63;4163.91;412.954;2236.65;4290.12;2005.45;121.925;2850.38;1313.49;1192.52;4141.96;225.853;1312.84;2218.71;4168.66;3359.6;189.209;1257.15;876.832;3364.94;59.7333;3664.63;1813.23;1034.49;4105.74;2285.3;1859.39;320.103;4173.46;1283.98;2026.83;534.993;2490.98;1495.5;4051.62;1872.83;4315.42;1049;4018.83;974.579;421.218;1467.21;504.527;3637.16;1687.24;2520.2;2024.87;244.396;4234.2;4237.48;1384.06;392.645;3630.94;4224.02;1815.36;804.771;2819.12;4146.83;4130.19;4070.96;1948.8;2098.97;2874.1;2017.04;1021.82;1032.75;4154.08;1173.77;1039.2;1055.51;4326.38;1104.14;1991.45;1229.93;1593.1;4170.51;1241.85;1790.33;2820.86;4273.22;3810.07;385.72;1864.81;2275.74;1613.33;1975.43;
